Year,Type,TWh
1965,Geothermal,17.985231
1965,Solar Generation,0
1965,Wind Generation,0
1965,Hydro Generation,923.19806
1966,Geothermal,19.806007
1966,Solar Generation,0
1966,Wind Generation,0
1966,Hydro Generation,983.81696
1967,Geothermal,19.98657
1967,Solar Generation,0
1967,Wind Generation,0
1967,Hydro Generation,1005.7424
1968,Geothermal,22.120045
1968,Solar Generation,0
1968,Wind Generation,0
1968,Hydro Generation,1059.2887
1969,Geothermal,23.257965
1969,Solar Generation,0
1969,Wind Generation,0
1969,Hydro Generation,1121.7424
1970,Geothermal,25.701897
1970,Solar Generation,0
1970,Wind Generation,0
1970,Hydro Generation,1174.6497
1971,Geothermal,27.888294
1971,Solar Generation,0
1971,Wind Generation,0
1971,Hydro Generation,1227.2422
1972,Geothermal,29.888775
1972,Solar Generation,0
1972,Wind Generation,0
1972,Hydro Generation,1284.629
1973,Geothermal,32.09585
1973,Solar Generation,0
1973,Wind Generation,0
1973,Hydro Generation,1303.013
1974,Geothermal,34.289085
1974,Solar Generation,0
1974,Wind Generation,0
1974,Hydro Generation,1431.2317
1975,Geothermal,34.81208
1975,Solar Generation,0
1975,Wind Generation,0
1975,Hydro Generation,1448.8834
1976,Geothermal,38.79105
1976,Solar Generation,0
1976,Wind Generation,0
1976,Hydro Generation,1443.1366
1977,Geothermal,40.89204
1977,Solar Generation,0
1977,Wind Generation,0
1977,Hydro Generation,1491.6724
1978,Geothermal,43.29665
1978,Solar Generation,0
1978,Wind Generation,0.003
1978,Hydro Generation,1614.3823
1979,Geothermal,46.499256
1979,Solar Generation,0
1979,Wind Generation,0.006
1979,Hydro Generation,1695.1862
1980,Geothermal,49.717464
1980,Solar Generation,0
1980,Wind Generation,0.0105
1980,Hydro Generation,1731.6493
1981,Geothermal,53.48617
1981,Solar Generation,0
1981,Wind Generation,0.0105
1981,Hydro Generation,1768.9036
1982,Geothermal,61.708954
1982,Solar Generation,0
1982,Wind Generation,0.0185
1982,Hydro Generation,1800.9081
1983,Geothermal,68.35493
1983,Solar Generation,0.003
1983,Wind Generation,0.03279495
1983,Hydro Generation,1877.7689
1984,Geothermal,76.34615
1984,Solar Generation,0.006311111
1984,Wind Generation,0.044755556
1984,Hydro Generation,1941.3734
1985,Geothermal,78.69558
1985,Solar Generation,0.011747475
1985,Wind Generation,0.064220205
1985,Hydro Generation,1979.2446
1986,Geothermal,85.43938
1986,Solar Generation,0.015183838
1986,Wind Generation,0.13883132
1986,Hydro Generation,2006.0651
1987,Geothermal,91.51002
1987,Solar Generation,0.01060303
1987,Wind Generation,0.19537677
1987,Hydro Generation,2033.1884
1988,Geothermal,94.15391
1988,Solar Generation,0.01019596
1988,Wind Generation,0.3315798
1988,Hydro Generation,2098.3518
1989,Geothermal,104.66536
1989,Solar Generation,0.26222324
1989,Wind Generation,2.6497767
1989,Hydro Generation,2087.588
1990,Geothermal,117.21735
1990,Solar Generation,0.38834995
1990,Wind Generation,3.6324706
1990,Hydro Generation,2158.854
1991,Geothermal,122.25421
1991,Solar Generation,0.5053229
1991,Wind Generation,4.086107
1991,Hydro Generation,2208.702
1992,Geothermal,131.14992
1992,Solar Generation,0.4666791
1992,Wind Generation,4.732812
1992,Hydro Generation,2208.4592
1993,Geothermal,135.47186
1993,Solar Generation,0.5566775
1993,Wind Generation,5.704169
1993,Hydro Generation,2341.4597
1994,Geothermal,140.66844
1994,Solar Generation,0.5969829
1994,Wind Generation,7.13173
1994,Hydro Generation,2356.203
1995,Geothermal,146.63136
1995,Solar Generation,0.63888276
1995,Wind Generation,8.272123
1995,Hydro Generation,2483.6868
1996,Geothermal,150.6927
1996,Solar Generation,0.69922996
1996,Wind Generation,9.215601
1996,Hydro Generation,2517.03
1997,Geothermal,161.40073
1997,Solar Generation,0.7496558
1997,Wind Generation,12.028216
1997,Hydro Generation,2561.359
1998,Geothermal,168.2064
1998,Solar Generation,0.811852
1998,Wind Generation,15.92926
1998,Hydro Generation,2581.1204
1999,Geothermal,176.63608
1999,Solar Generation,0.9052879
1999,Wind Generation,21.226898
1999,Hydro Generation,2600.65
2000,Geothermal,184.89665
2000,Solar Generation,1.0594312
2000,Wind Generation,31.409636
2000,Hydro Generation,2646.7285
2001,Geothermal,192.05826
2001,Solar Generation,1.4237884
2001,Wind Generation,38.380093
2001,Hydro Generation,2578.737
2002,Geothermal,206.70955
2002,Solar Generation,1.7994766
2002,Wind Generation,52.381878
2002,Hydro Generation,2626.306
2003,Geothermal,218.39073
2003,Solar Generation,2.255641
2003,Wind Generation,63.2847
